Title,Genre,Description
Bahubali: The Beginning,"Action, Drama            ","    In ancient India, an adventurous and daring man becomes involved in a decades old feud between two warring people."
Baahubali 2: The Conclusion,"Action, Drama            ","    When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom."
1 - Nenokkadine,"Action, Thriller            ",    A rock star must overcome his psychological inhibitions to seek revenge for his parents' death.
Dhoom:3,"Action, Thriller            ","    When Sahir, a circus entertainer trained in magic and acrobatics, turns into a thief to take down a corrupt bank in Chicago that ruined his father, Indian officers Jai and Ali are called to catch him."
Ra.One,"Action, Adventure, Sci-Fi            ","    When the titular antagonist of an action game takes on physical form, it's only the game's less powerful protagonist who can save his creator's family."
Dhoom:2,"Action, Thriller            ","    Mr A, a fearless thief, steals valuable artefacts and teams up with the girl he is attracted to but who cannot be trusted. Close on their heels are three police officers trying to apprehend them."
Eega,"Action, Fantasy            ",    A murdered man is reincarnated as a housefly and seeks to avenge his death.
Krrish 3,"Action, Sci-Fi            ","    Krrish and his scientist father have to save the world and their own family from an evil man named Kaal and his gang of mutants, led by the ruthless Kaya."
Arjun Reddy,"Action, Drama, Romance            ","    Arjun Reddy, a short tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person."
Rangasthalam,"Action, Drama            ","    The fear of his elder brother's death starts to haunt an innocent, hearing impaired guy after they both join forces to overthrow the unlawful 30 year long regime of their village's president."
Magadheera,"Action, Drama, Fantasy            ","    A bike stuntman recalls his previous life as a warrior, and pursues his love's reincarnation. A sinister figure from their shared past threatens to separate them forever."
War,"Action, Thriller            ",    An Indian soldier chases after his mentor who has gone rogue following an unexpected kill.
Bharat Ane Nenu,"Action, Drama            ","    Bharat, an young graduate, becomes the C.M of Andhra Pradesh (pre-div) after his father demise without any political knowledge, faces challenges in the process of reform the society."
Saaho,"Action, Thriller            ","    An undercover cop becomes embroiled in a battle with warring criminals who want to acquire a ""black box,"" their ultimate key to a treasure."
Theri,"Action, Drama            ","    When his daughter's life is endangered by a local gang, Joseph Kuruvilla will do whatever it takes to stop them. However, at the same time, his dangerous past slowly resurfaces."
Dookudu,"Action, Comedy            ","    Ajay, (Mahesh Babu) an undercover cop, is assigned to catch a dangerous mafia don with whom he has a personal score to settle."
Pokiri,"Action, Thriller            ","    A local goon's killer instincts earn him his girlfriend's disapproval, a corrupt cop's enmity and a wanted don's attention."
Sarkar,"Action, Drama            ","    An NRI businessman learns his vote has been cast by someone else and decides to investigate the matter, eventually finding himself pitted against two corrupt politicians."
Athadu,"Action, Thriller            ","    A gunman for hire is framed for murder, and assumes a dead man's identity while hiding from the police."
The Ghazi Attack,"Action, Thriller, War            ","    A Pakistani submarine, Ghazi plans to secretly attack Vizag port. For doing so, it has to get past Indian submarine S21."
Kabali,"Action, Crime, Drama            ","    Returning from prison, aged gangster Kabali confronts those who had destroyed his life. While doing so, he learns about what had happened to his family when he was gone."
MSG: The Messenger of God,"Action, Comedy, Drama            ",    Guru Ji is a social reformer who works to help people fight against social evils.
Nanban,"Comedy, Drama            ","    10 years after finishing college, two best friends and their enemy go on a search for their third friend, while finding out some truths along the way."
Srimanthudu,"Action, Drama            ","    Harsha, a multi-millionaire who has everything, still feels that there is something missing in his life. In an attempt to fill the void, he adopts a village to bring change in the people."
Veer - Vivegam,"Action, Thriller            ",    An Interpol agent betrayed by his friends sets out to take revenge against the friends who work for a secret agency.
Billa 2,"Action, Thriller            ","    Small-time diamond smuggler David befriends Goa-based gangster Abbasi. But when David begins to build inroads with an international gangster, Abbasi is not happy. Soon the two turn into bitter rivals."
Manam,"Comedy, Drama, Fantasy            ","    Through reincarnation, family members are able to cross generations and meddle in each others' lives."
7 Aum Arivu,"Action, Sci-Fi, Thriller            ",    A genetic engineering student tries to bring back the skills of a legend of the past and use his skills to save India from a deadly virus attack by China.
Bigil,"Action, Drama, Sport            ",    A former football player struggles to train a women's football team and avenge his father's death.
Business Man,"Action, Crime            ",    Surya arrives in Mumbai to revive the mafia and ends up making enemies who threaten his life.
Geetha Govindam,"Drama, Romance            ",    An innocent young lecturer is misunderstood as a pervert and despised by a woman who co-incidentally turns out to be the younger sister of his brother-in-law. Eventually differences subside and love blooms between them.
Mahanati,"Biography, Drama            ","    Biography of Savitri, an actress from South India movie industry, who ruled the industry for two decades during 50s and 60s."
Spyder,"Action, Thriller            ",    An intelligence officer attempts to save the city from a psychotic serial killer who kills people just to hear their loved ones cry.
Nannaku Prematho,"Action, Drama, Thriller            ",    An intelligent son of a former entrepreneur takes revenge on a powerful and rich businessman who is as smart as he is.
